HomeTeam,AwayTeam,FTR
Newcastle,Tottenham,H
Portsmouth,Everton,A
Arsenal,Blackburn,H
'Aston Villa',Wolves,H
Leeds,Fulham,H
Blackburn,'Aston Villa',A
Bolton,Arsenal,D
Charlton,Newcastle,D
Everton,Leicester,H
Fulham,Chelsea,A
Southampton,Portsmouth,H
Tottenham,'Man United',A
'Man City',Leeds,D
Arsenal,Wolves,H
Birmingham,'Man City',H
Blackburn,Middlesbrough,D
Charlton,Chelsea,H
Fulham,Southampton,H
Leeds,'Aston Villa',D
Leicester,Newcastle,D
Liverpool,Bolton,H
'Man United',Everton,H
Portsmouth,Tottenham,H
'Aston Villa',Fulham,H
Bolton,Leicester,D
Chelsea,Portsmouth,H
Everton,Birmingham,H
'Man City',Liverpool,D
Middlesbrough,'Man United',A
Newcastle,Blackburn,A
Tottenham,Charlton,A
Wolves,Leeds,H
Southampton,Arsenal,A
'Aston Villa',Portsmouth,H
Bolton,'Man United',A
Chelsea,Liverpool,A
Everton,Arsenal,D
'Man City',Charlton,D
Middlesbrough,Fulham,H
Newcastle,Leeds,H
Southampton,Leicester,D
Tottenham,Birmingham,H
Wolves,Blackburn,D
Arsenal,Middlesbrough,H
Birmingham,Southampton,H
Blackburn,Bolton,A
Charlton,Wolves,H
Fulham,Everton,H
Leeds,Tottenham,A
Liverpool,'Aston Villa',H
Portsmouth,'Man City',H
Leicester,Chelsea,A
'Man United',Newcastle,D
Bolton,Portsmouth,H
Everton,Charlton,A
'Man City',Blackburn,D
Middlesbrough,Leicester,D
Southampton,Leeds,H
Tottenham,Liverpool,H
Wolves,'Man United',H
'Aston Villa',Arsenal,A
Chelsea,Birmingham,D
Newcastle,Fulham,H
Wolves,Liverpool,D
Birmingham,Newcastle,D
Charlton,Bolton,A
Fulham,Tottenham,H
Leeds,Middlesbrough,A
Leicester,'Aston Villa',A
Liverpool,Everton,D
'Man United',Southampton,H
Portsmouth,Wolves,D
Arsenal,'Man City',H
Blackburn,Chelsea,A
'Aston Villa',Leeds,H
Bolton,Liverpool,D
Everton,'Man United',A
Middlesbrough,Blackburn,A
Newcastle,Leicester,H
Southampton,Fulham,D
Tottenham,Portsmouth,H
Wolves,Arsenal,A
Chelsea,Charlton,H
'Man City',Birmingham,D
Arsenal,Southampton,H
Leeds,Wolves,H
Leicester,Bolton,D
Birmingham,Everton,H
Blackburn,Newcastle,D
Charlton,Tottenham,A
Fulham,'Aston Villa',A
Liverpool,'Man City',H
'Man United',Middlesbrough,A
Portsmouth,Chelsea,A
Bolton,'Man City',A
Charlton,Blackburn,H
Chelsea,Arsenal,A
'Man United',Leeds,D
Newcastle,Middlesbrough,H
Southampton,Everton,D
Wolves,Fulham,H
'Aston Villa',Birmingham,D
Tottenham,Leicester,D
Arsenal,Charlton,H
Blackburn,Southampton,D
Everton,'Aston Villa',H
Fulham,'Man United',D
Leicester,Wolves,D
'Man City',Chelsea,A
Leeds,Liverpool,D
Portsmouth,Newcastle,D
Birmingham,Middlesbrough,H
Birmingham,Bolton,H
Middlesbrough,Tottenham,H
Birmingham,Leicester,A
Blackburn,Arsenal,A
Bolton,Chelsea,A
Charlton,Middlesbrough,H
Everton,Portsmouth,H
Fulham,Leeds,H
'Man City','Man United',H
Southampton,Liverpool,H
Tottenham,Newcastle,H
Wolves,'Aston Villa',A
Liverpool,Portsmouth,H
Arsenal,Bolton,H
'Aston Villa',Blackburn,A
Chelsea,Fulham,H
Leicester,Everton,D
Liverpool,Wolves,H
'Man United',Tottenham,H
Middlesbrough,Birmingham,H
Newcastle,Charlton,H
Portsmouth,Southampton,H
Leeds,'Man City',H
Birmingham,Leeds,H
Blackburn,Portsmouth,A
Charlton,'Aston Villa',A
Chelsea,Wolves,H
Everton,Middlesbrough,D
'Man City',Fulham,D
Southampton,Tottenham,H
Arsenal,'Man United',D
Bolton,Newcastle,H
Leicester,Liverpool,D
Fulham,Birmingham,D
Middlesbrough,Bolton,H
Newcastle,Everton,H
Tottenham,Chelsea,A
Wolves,Southampton,A
'Aston Villa','Man City',D
Liverpool,Blackburn,H
Leeds,Leicester,H
Arsenal,Liverpool,H
Everton,Tottenham,H
Birmingham,'Man United',A
Blackburn,Leeds,A
Bolton,'Aston Villa',D
Charlton,Portsmouth,D
Chelsea,Middlesbrough,D
Leicester,Fulham,A
'Man City',Wolves,D
Newcastle,Arsenal,D
'Aston Villa',Chelsea,H
Fulham,Blackburn,A
Liverpool,Charlton,A
Middlesbrough,Southampton,H
Portsmouth,Birmingham,H
Tottenham,'Man City',D
Wolves,Bolton,A
Leeds,Everton,D
'Man United',Leicester,H
Arsenal,Leeds,H
Blackburn,Leicester,H
Bolton,Tottenham,H
Charlton,Birmingham,D
Chelsea,Everton,D
Liverpool,Fulham,D
'Man City',Southampton,A
Portsmouth,'Man United',H
Wolves,Middlesbrough,H
'Aston Villa',Newcastle,D
'Man United',Charlton,H
Everton,Blackburn,A
Fulham,Charlton,H
Leicester,'Man City',D
'Man United',Liverpool,A
Middlesbrough,'Aston Villa',A
Southampton,Bolton,A
Birmingham,Wolves,D
Leeds,Portsmouth,A
Newcastle,Chelsea,H
Tottenham,Arsenal,D
Arsenal,Birmingham,D
Blackburn,'Man United',H
Charlton,Leicester,D
Chelsea,Southampton,H
'Man City',Newcastle,H
Portsmouth,Fulham,D
Wolves,Everton,H
'Aston Villa',Tottenham,H
Bolton,Leeds,H
Liverpool,Middlesbrough,H
Portsmouth,Arsenal,D
Birmingham,Liverpool,A
Everton,Bolton,A
Leeds,Charlton,D
Leicester,Portsmouth,H
'Man United',Chelsea,D
Middlesbrough,'Man City',H
Southampton,'Aston Villa',D
Tottenham,Blackburn,H
Fulham,Arsenal,A
Newcastle,Wolves,D
Southampton,Newcastle,D
Arsenal,Leicester,H
'Aston Villa','Man United',A
Blackburn,Birmingham,D
Bolton,Fulham,A
Charlton,Southampton,H
Chelsea,Leeds,H
Liverpool,Newcastle,D
'Man City',Everton,H
Portsmouth,Middlesbrough,H
Wolves,Tottenham,A
'Aston Villa',Southampton,H
Blackburn,'West Brom',D
Bolton,Charlton,H
'Man City',Fulham,D
Middlesbrough,Newcastle,D
Norwich,'Crystal Palace',D
Portsmouth,Birmingham,D
Tottenham,Liverpool,D
Chelsea,'Man United',H
Everton,Arsenal,A
Birmingham,Chelsea,A
Charlton,Portsmouth,H
'Crystal Palace',Everton,A
Fulham,Bolton,H
Liverpool,'Man City',H
'Man United',Norwich,H
Newcastle,Tottenham,A
Southampton,Blackburn,H
Arsenal,Middlesbrough,H
'West Brom','Aston Villa',D
Birmingham,'Man City',H
'Crystal Palace',Chelsea,A
Arsenal,Blackburn,H
Charlton,'Aston Villa',H
Fulham,Middlesbrough,A
Newcastle,Norwich,D
Southampton,Bolton,A
'West Brom',Tottenham,D
'Aston Villa',Newcastle,H
Blackburn,'Man United',D
Chelsea,Southampton,H
Everton,'West Brom',H
'Man City',Charlton,H
Middlesbrough,'Crystal Palace',H
Norwich,Arsenal,A
Tottenham,Birmingham,H
Bolton,Liverpool,H
'Man United',Everton,D
Portsmouth,Fulham,H
'Aston Villa',Chelsea,D
Bolton,'Man United',D
Fulham,Arsenal,A
Liverpool,'West Brom',H
'Man City',Everton,A
Middlesbrough,Birmingham,H
Newcastle,Blackburn,H
Portsmouth,'Crystal Palace',H
Tottenham,Norwich,D
Charlton,Southampton,D
Arsenal,Bolton,D
Birmingham,Charlton,D
Blackburn,Portsmouth,H
'Crystal Palace','Man City',A
Norwich,'Aston Villa',D
'West Brom',Fulham,D
Chelsea,Tottenham,D
Everton,Middlesbrough,H
Southampton,Newcastle,A
'Man United',Liverpool,H
'Aston Villa','Crystal Palace',D
Bolton,Birmingham,D
Fulham,Southampton,H
Liverpool,Norwich,H
'Man City',Arsenal,A
Middlesbrough,Chelsea,A
Newcastle,'West Brom',H
Tottenham,'Man United',A
Portsmouth,Everton,A
Charlton,Blackburn,H
Arsenal,Charlton,H
Blackburn,'Aston Villa',D
Everton,Tottenham,A
Norwich,Portsmouth,D
Southampton,'Man City',D
'West Brom',Bolton,H
Birmingham,Newcastle,D
Chelsea,Liverpool,H
'Man United',Middlesbrough,D
'Crystal Palace',Fulham,H
Arsenal,'Aston Villa',H
Birmingham,'Man United',D
Blackburn,Middlesbrough,A
Bolton,'Crystal Palace',H
Everton,Southampton,H
Fulham,Liverpool,A
'Man City',Chelsea,H
'West Brom',Norwich,D
Charlton,Newcastle,D
Portsmouth,Tottenham,H
'Aston Villa',Fulham,H
Chelsea,Blackburn,H
'Crystal Palace','West Brom',H
Liverpool,Charlton,H
Norwich,Everton,A
Tottenham,Bolton,A
'Man United',Arsenal,H
Middlesbrough,Portsmouth,D
Newcastle,'Man City',H
Southampton,Birmingham,D
Arsenal,Southampton,D
Birmingham,'Crystal Palace',A
Blackburn,Liverpool,D
Charlton,Middlesbrough,A
Everton,'Aston Villa',D
Fulham,Tottenham,H
Portsmouth,'Man United',H
'West Brom',Chelsea,A
Bolton,Newcastle,H
'Man City',Norwich,D
'Aston Villa',Portsmouth,H
Chelsea,Everton,H
'Crystal Palace',Arsenal,D
Liverpool,Birmingham,A
Norwich,Blackburn,D
Southampton,'West Brom',D
Tottenham,Charlton,A
'Man United','Man City',D
Middlesbrough,Bolton,D
Newcastle,Fulham,A
Birmingham,Everton,A
Bolton,'Aston Villa',A
Charlton,Norwich,H
Fulham,Chelsea,A
Liverpool,'Crystal Palace',H
'Man City',Blackburn,D
Southampton,Portsmouth,H
Tottenham,Arsenal,A
Newcastle,'Man United',A
'West Brom',Middlesbrough,A
Arsenal,'West Brom',D
Chelsea,Bolton,D
'Crystal Palace',Newcastle,A
Everton,Fulham,H
'Man United',Charlton,H
Middlesbrough,Liverpool,H
Norwich,Southampton,H
Portsmouth,'Man City',A
Blackburn,Birmingham,D
'Aston Villa',Tottenham,H
Birmingham,Norwich,D
Bolton,Portsmouth,A
Charlton,Chelsea,A
Fulham,Blackburn,A
'Man City','Aston Villa',H
Southampton,'Crystal Palace',D
'West Brom','Man United',A
Liverpool,Arsenal,H
Newcastle,Everton,D
Tottenham,Middlesbrough,H
Arsenal,Birmingham,H
'Aston Villa',Liverpool,D
Blackburn,Tottenham,A
Chelsea,Newcastle,H
Everton,Bolton,H
'Man United',Southampton,H
Norwich,Fulham,A
Portsmouth,'West Brom',H
'Crystal Palace',Charlton,A
Middlesbrough,'Man City',H
'Crystal Palace',Blackburn,D
Everton,Liverpool,H
'Man City',Tottenham,A
Newcastle,Portsmouth,D
Norwich,Bolton,H
Southampton,Middlesbrough,D
'West Brom',Charlton,A
Arsenal,Chelsea,D
'Aston Villa',Birmingham,A
Fulham,'Man United',D
Liverpool,Portsmouth,D
Birmingham,'West Brom',H
Blackburn,Everton,D
Bolton,'Man City',A
Chelsea,Norwich,H
'Man United','Crystal Palace',H
Middlesbrough,'Aston Villa',H
Tottenham,Southampton,H
Liverpool,Newcastle,H
Portsmouth,Arsenal,A
Charlton,Fulham,H
Arsenal,Fulham,H
Birmingham,Middlesbrough,H
Blackburn,Newcastle,D
Chelsea,'Aston Villa',H
'Crystal Palace',Portsmouth,A
Everton,'Man City',H
'Man United',Bolton,H
Norwich,Tottenham,A
Southampton,Charlton,D
'West Brom',Liverpool,A
'Aston Villa','Man United',A
Bolton,Blackburn,A
Charlton,Everton,H
Fulham,Birmingham,A
Liverpool,Southampton,H
'Man City','West Brom',D
Middlesbrough,Norwich,H
Portsmouth,Chelsea,A
Tottenham,'Crystal Palace',D
Newcastle,Arsenal,A
'Aston Villa',Blackburn,H
Bolton,'West Brom',D
Charlton,Arsenal,A
Fulham,'Crystal Palace',H
Liverpool,Chelsea,A
'Man City',Southampton,H
Middlesbrough,'Man United',A
Newcastle,Birmingham,H
Portsmouth,Norwich,D
Tottenham,Everton,H
Blackburn,Charlton,H
'Crystal Palace','Aston Villa',H
Norwich,Liverpool,A
'West Brom',Newcastle,D
Arsenal,'Man City',D
Birmingham,Bolton,A
Chelsea,Middlesbrough,H
Everton,Portsmouth,H
'Man United',Tottenham,D
Southampton,Fulham,D
'Aston Villa',Norwich,H
Bolton,Arsenal,H
Charlton,Birmingham,H
Liverpool,'Man United',A
'Man City','Crystal Palace',H
Newcastle,Southampton,H
Portsmouth,Blackburn,A
Tottenham,Chelsea,A
Fulham,'West Brom',H
Middlesbrough,Everton,D
Birmingham,Fulham,A
Chelsea,Portsmouth,H
'Crystal Palace',Tottenham,H
Everton,Charlton,A
'Man United','Aston Villa',H
Norwich,Middlesbrough,D
Southampton,Liverpool,H
'West Brom','Man City',H
Arsenal,Newcastle,H
Blackburn,Bolton,A
Arsenal,'Man United',A
Bolton,Tottenham,H
Charlton,Liverpool,A
Portsmouth,Middlesbrough,H
'West Brom','Crystal Palace',D
Birmingham,Southampton,H
Blackburn,Chelsea,A
Everton,Norwich,H
Fulham,'Aston Villa',D
'Man City',Newcastle,D
'Aston Villa',Arsenal,A
'Crystal Palace',Bolton,A
Liverpool,Fulham,H
'Man United',Birmingham,H
Middlesbrough,Blackburn,H
Newcastle,Charlton,D
Norwich,'West Brom',H
Tottenham,Portsmouth,H
Chelsea,'Man City',D
Southampton,Everton,D
Birmingham,Liverpool,H
Blackburn,Norwich,H
Bolton,Middlesbrough,D
Everton,Chelsea,A
Portsmouth,'Aston Villa',A
'Man City','Man United',A
Arsenal,'Crystal Palace',H
'West Brom',Southampton,D
'Aston Villa',Everton,A
'Crystal Palace',Birmingham,H
'Man United',Portsmouth,H
Southampton,Arsenal,D
Tottenham,Fulham,H
Middlesbrough,Charlton,D
Newcastle,Bolton,H
Norwich,'Man City',A
Arsenal,Portsmouth,H
'Aston Villa',Middlesbrough,H
'Crystal Palace','Man United',D
Fulham,Charlton,D
Newcastle,Liverpool,H
Norwich,Chelsea,A
Southampton,Tottenham,H
Everton,Blackburn,A
'West Brom',Birmingham,H
'Man City',Bolton,A
Chelsea,'West Brom',H
Charlton,Tottenham,H
Liverpool,Blackburn,D
Blackburn,Arsenal,A
Bolton,Norwich,H
Charlton,'West Brom',A
Chelsea,'Crystal Palace',H
'Man United',Fulham,H
Portsmouth,Newcastle,D
Tottenham,'Man City',H
Birmingham,'Aston Villa',H
Liverpool,Everton,H
Middlesbrough,Southampton,A
Arsenal,Norwich,H
Birmingham,Tottenham,D
Charlton,'Man City',D
'Crystal Palace',Middlesbrough,A
Liverpool,Bolton,H
'Man United',Blackburn,D
Newcastle,'Aston Villa',A
Southampton,Chelsea,A
Fulham,Portsmouth,H
'West Brom',Everton,H
Blackburn,Southampton,H
Bolton,Fulham,H
Chelsea,Birmingham,D
'Man City',Liverpool,H
Middlesbrough,Arsenal,A
Norwich,'Man United',H
Portsmouth,Charlton,H
'Aston Villa','West Brom',D
Everton,'Crystal Palace',H
Tottenham,Newcastle,H
Birmingham,Portsmouth,D
Charlton,Bolton,A
'Crystal Palace',Norwich,D
Fulham,'Man City',D
Liverpool,Tottenham,D
Southampton,'Aston Villa',A
Bolton,Southampton,D
Middlesbrough,Fulham,D
'Aston Villa',Charlton,D
Blackburn,'Crystal Palace',H
Chelsea,Arsenal,D
Everton,'Man United',H
'Man City',Birmingham,H
Norwich,Newcastle,H
Portsmouth,Liverpool,A
Tottenham,'West Brom',D
'Aston Villa',Bolton,D
Blackburn,'Man City',D
Chelsea,Fulham,H
'Crystal Palace',Liverpool,H
Everton,Birmingham,D
Middlesbrough,'West Brom',H
Norwich,Charlton,H
'Man United',Newcastle,H
Portsmouth,Southampton,H
Arsenal,Tottenham,H
'West Brom',Blackburn,D
Newcastle,Middlesbrough,D
Birmingham,Blackburn,H
Bolton,Chelsea,A
Fulham,Everton,H
Liverpool,Middlesbrough,D
'Man City',Portsmouth,H
Newcastle,'Crystal Palace',D
Southampton,Norwich,H
Charlton,'Man United',A
Tottenham,'Aston Villa',H
'West Brom',Arsenal,A
Fulham,Newcastle,A
'Aston Villa','Man City',A
Blackburn,Fulham,A
Chelsea,Charlton,H
'Crystal Palace',Southampton,D
Everton,Newcastle,H
'Man United','West Brom',D
Middlesbrough,Tottenham,H
Norwich,Birmingham,H
Portsmouth,Bolton,D
Arsenal,Liverpool,H
'Man United',Chelsea,A
Arsenal,Everton,H
Birmingham,Arsenal,H
Bolton,Everton,H
Charlton,'Crystal Palace',D
Fulham,Norwich,H
Liverpool,'Aston Villa',H
'Man City',Middlesbrough,D
Newcastle,Chelsea,D
Southampton,'Man United',A
Tottenham,Blackburn,D
'West Brom',Portsmouth,H
Arsenal,'Aston Villa',D
Bolton,Tottenham,H
Everton,Watford,H
Newcastle,Wigan,H
Portsmouth,Blackburn,H
Reading,Middlesbrough,H
'Sheffield United',Liverpool,D
'West Ham',Charlton,H
Chelsea,'Man City',H
'Man United',Fulham,H
Tottenham,'Sheffield United',H
Watford,'West Ham',D
'Aston Villa',Reading,H
Blackburn,Everton,D
Charlton,'Man United',A
Fulham,Bolton,D
'Man City',Portsmouth,D
Middlesbrough,Chelsea,H
Charlton,Bolton,H
Fulham,'Sheffield United',H
Liverpool,'West Ham',H
'Man City',Arsenal,H
Tottenham,Everton,A
Watford,'Man United',A
Wigan,Reading,H
'Aston Villa',Newcastle,H
Blackburn,Chelsea,A
Middlesbrough,Portsmouth,A
Arsenal,Middlesbrough,D
Bolton,Watford,H
Chelsea,Charlton,H
Everton,Liverpool,H
'Man United',Tottenham,H
Newcastle,Fulham,A
Portsmouth,Wigan,H
'Sheffield United',Blackburn,D
'West Ham','Aston Villa',D
Reading,'Man City',H
Bolton,Middlesbrough,D
Charlton,Portsmouth,A
Everton,Wigan,D
'Sheffield United',Reading,A
Watford,'Aston Villa',D
Blackburn,'Man City',H
Chelsea,Liverpool,H
'Man United',Arsenal,A
Tottenham,Fulham,D
'West Ham',Newcastle,A
Liverpool,Newcastle,H
Arsenal,'Sheffield United',H
'Aston Villa',Charlton,H
Fulham,Chelsea,A
Liverpool,Tottenham,H
'Man City','West Ham',H
Middlesbrough,Blackburn,A
Reading,'Man United',D
Wigan,Watford,D
Newcastle,Everton,D
Portsmouth,Bolton,A
Bolton,Liverpool,H
Charlton,Arsenal,A
Chelsea,'Aston Villa',D
Everton,'Man City',D
'Sheffield United',Middlesbrough,H
Blackburn,Wigan,H
'Man United',Newcastle,H
Tottenham,Portsmouth,H
'West Ham',Reading,A
Watford,Fulham,D
Arsenal,Watford,H
'Aston Villa',Tottenham,D
Liverpool,Blackburn,D
'Man City','Sheffield United',D
Middlesbrough,Everton,H
Portsmouth,'West Ham',H
Reading,Chelsea,A
Wigan,'Man United',A
Newcastle,Bolton,A
Fulham,Charlton,H
'Aston Villa',Fulham,D
Charlton,Watford,D
Chelsea,Portsmouth,H
Everton,'Sheffield United',H
Wigan,'Man City',H
Blackburn,Bolton,A
'Man United',Liverpool,H
Middlesbrough,Newcastle,H
Reading,Arsenal,A
Tottenham,'West Ham',H
Arsenal,Everton,D
Bolton,'Man United',A
Fulham,Wigan,A
Liverpool,'Aston Villa',H
Newcastle,Charlton,D
Portsmouth,Reading,H
'Sheffield United',Chelsea,A
Watford,Tottenham,D
'West Ham',Blackburn,H
'Man City',Middlesbrough,H
Bolton,Wigan,A
Charlton,'Man City',H
Fulham,Everton,H
Liverpool,Reading,H
'Man United',Portsmouth,H
Newcastle,'Sheffield United',A
Watford,Middlesbrough,H
'Aston Villa',Blackburn,H
Tottenham,Chelsea,H
'West Ham',Arsenal,H
Blackburn,'Man United',A
Chelsea,Watford,H
Everton,'Aston Villa',A
'Man City',Newcastle,D
Middlesbrough,'West Ham',H
Portsmouth,Fulham,D
'Sheffield United',Bolton,D
Wigan,Charlton,H
Arsenal,Liverpool,H
Reading,Tottenham,H
Arsenal,Newcastle,D
Chelsea,'West Ham',H
Everton,Bolton,H
'Man City',Fulham,H
Middlesbrough,Liverpool,D
Portsmouth,Watford,H
Reading,Charlton,H
'Sheffield United','Man United',A
Blackburn,Tottenham,D
Wigan,'Aston Villa',D
'Aston Villa',Middlesbrough,D
Bolton,Arsenal,H
Charlton,Everton,D
Fulham,Reading,A
Liverpool,'Man City',H
'West Ham','Sheffield United',H
'Man United',Chelsea,D
Newcastle,Portsmouth,H
Tottenham,Wigan,H
Watford,'Sheffield United',A
'Aston Villa','Man City',A
Bolton,Chelsea,A
Fulham,Arsenal,H
Liverpool,Portsmouth,D
'Man United',Everton,H
Arsenal,Tottenham,H
Blackburn,Fulham,H
Middlesbrough,'Man United',A
Portsmouth,'Aston Villa',D
Reading,Bolton,H
'Sheffield United',Charlton,H
Wigan,Liverpool,A
Everton,'West Ham',H
'Man City',Watford,D
Charlton,Blackburn,H
Tottenham,Middlesbrough,H
Newcastle,Reading,H
'West Ham',Wigan,A
Blackburn,Newcastle,A
Bolton,'West Ham',H
Liverpool,Fulham,H
'Man United','Man City',H
Middlesbrough,Wigan,D
Portsmouth,Everton,H
Tottenham,Charlton,H
Watford,Reading,D
Chelsea,Arsenal,D
'Sheffield United','Aston Villa',D
Chelsea,Newcastle,H
Wigan,Arsenal,A
Arsenal,Portsmouth,D
'Aston Villa',Bolton,A
Charlton,Liverpool,A
Newcastle,Watford,H
Reading,Blackburn,A
Wigan,'Sheffield United',A
Everton,Chelsea,A
'Man City',Tottenham,A
'West Ham','Man United',H
Fulham,Middlesbrough,H
Arsenal,Blackburn,H
'Aston Villa','Man United',A
Fulham,'West Ham',D
Liverpool,Watford,H
'Man City',Bolton,A
Middlesbrough,Charlton,H
Newcastle,Tottenham,H
Portsmouth,'Sheffield United',H
Reading,Everton,A
Wigan,Chelsea,A
Blackburn,Liverpool,H
Bolton,Newcastle,H
Chelsea,Reading,D
Everton,Middlesbrough,D
'Man United',Wigan,H
'Sheffield United','Man City',A
Tottenham,'Aston Villa',H
Watford,Arsenal,A
'West Ham',Portsmouth,A
Charlton,Fulham,D
Blackburn,Middlesbrough,H
Bolton,Portsmouth,H
Charlton,'Aston Villa',H
Chelsea,Fulham,D
Everton,Newcastle,H
'Man United',Reading,H
'Sheffield United',Arsenal,H
Tottenham,Liverpool,A
'West Ham','Man City',A
Fulham,Watford,D
Liverpool,Bolton,H
'Man City',Everton,H
Middlesbrough,'Sheffield United',H
Newcastle,'Man United',D
Portsmouth,Tottenham,D
Reading,'West Ham',H
Wigan,Blackburn,A
Arsenal,Charlton,H
'Aston Villa',Chelsea,D
Blackburn,Arsenal,A
Bolton,'Man City',D
Charlton,Middlesbrough,A
Chelsea,Wigan,H
'Man United','Aston Villa',H
'Sheffield United',Portsmouth,D
Watford,Liverpool,A
'West Ham',Fulham,D
Everton,Reading,D
Tottenham,Newcastle,A
'Aston Villa',Watford,H
Fulham,Tottenham,D
Liverpool,Chelsea,H
'Man City',Blackburn,A
Middlesbrough,Bolton,H
Newcastle,'West Ham',D
Portsmouth,Charlton,A
Reading,'Sheffield United',H
Arsenal,'Man United',H
Wigan,Everton,A
Watford,Blackburn,H
Portsmouth,Middlesbrough,D
Reading,Wigan,H
'Sheffield United',Fulham,H
'West Ham',Liverpool,A
Bolton,Charlton,D
Chelsea,Blackburn,H
'Man United',Watford,H
Newcastle,'Aston Villa',H
'Aston Villa','West Ham',H
Blackburn,'Sheffield United',H
Charlton,Chelsea,A
Fulham,Newcastle,H
Liverpool,Everton,D
'Man City',Reading,A
Middlesbrough,Arsenal,D
Watford,Bolton,A
Wigan,Portsmouth,H
Tottenham,'Man United',A
Chelsea,Middlesbrough,H
Everton,Blackburn,H
'Man United',Charlton,H
Newcastle,Liverpool,H
Portsmouth,'Man City',H
Reading,'Aston Villa',H
'Sheffield United',Tottenham,H
'West Ham',Watford,A
Arsenal,Wigan,H
Bolton,Fulham,H
Everton,Tottenham,A
Watford,Wigan,D
Charlton,'West Ham',H
Fulham,'Man United',A
Liverpool,'Sheffield United',H
Middlesbrough,Reading,H
Watford,Everton,A
Blackburn,Portsmouth,H
Tottenham,Bolton,H
Wigan,Newcastle,H
Arsenal,Reading,H
Fulham,'Aston Villa',D
Liverpool,'Man United',A
'Man City',Wigan,A
Newcastle,Middlesbrough,D
Portsmouth,Chelsea,A
'Sheffield United',Everton,D
Watford,Charlton,D
Bolton,Blackburn,A
'West Ham',Tottenham,A
'Aston Villa',Arsenal,A
'Man City',Chelsea,A
Blackburn,'West Ham',A
Chelsea,'Sheffield United',H
'Man United',Bolton,H
Middlesbrough,'Man City',A
Reading,Portsmouth,D
Tottenham,Watford,H
Wigan,Fulham,D
'Aston Villa',Liverpool,D
Charlton,Newcastle,H
Everton,Arsenal,H
Bolton,'Sheffield United',H
Charlton,Wigan,H
Fulham,Portsmouth,D
Liverpool,Arsenal,H
'Man United',Blackburn,H
Newcastle,'Man City',A
Watford,Chelsea,A
'West Ham',Middlesbrough,H
Tottenham,Reading,H
'Aston Villa',Everton,D
Everton,Fulham,H
'Man City',Charlton,D
Arsenal,'West Ham',A
Blackburn,'Aston Villa',A
Chelsea,Tottenham,H
Middlesbrough,Watford,H
Portsmouth,'Man United',H
Reading,Liverpool,A
'Sheffield United',Newcastle,A
Wigan,Bolton,A
'Aston Villa',Wigan,D
Bolton,Everton,D
Charlton,Reading,D
Fulham,'Man City',A
Newcastle,Arsenal,D
Watford,Portsmouth,H
Arsenal,Bolton,H
'Man City',Liverpool,D
Middlesbrough,'Aston Villa',A
Portsmouth,Newcastle,H
Reading,Fulham,H
'Sheffield United','West Ham',H
Everton,Charlton,H
Wigan,Tottenham,D
Arsenal,'Man City',H
'Man United','Sheffield United',H
Blackburn,Watford,H
Liverpool,Middlesbrough,H
'West Ham',Chelsea,A
Bolton,Reading,A
Charlton,'Sheffield United',D
Fulham,Blackburn,D
Liverpool,Wigan,H
'Man United',Middlesbrough,D
Tottenham,Arsenal,D
Watford,'Man City',D
'West Ham',Everton,H
'Aston Villa',Portsmouth,D
Newcastle,Chelsea,D
Blackburn,Charlton,H
Chelsea,Bolton,D
Everton,'Man United',A
'Man City','Aston Villa',A
Middlesbrough,Tottenham,A
Portsmouth,Liverpool,H
'Sheffield United',Watford,H
Wigan,'West Ham',A
Arsenal,Fulham,H
Reading,Newcastle,H
'Aston Villa','Sheffield United',H
Everton,Portsmouth,H
Fulham,Liverpool,H
'Man City','Man United',A
Newcastle,Blackburn,A
Reading,Watford,A
'West Ham',Bolton,H
Wigan,Middlesbrough,A
Arsenal,Chelsea,D
Charlton,Tottenham,A
Chelsea,'Man United',D
Tottenham,Blackburn,D
Blackburn,Reading,D
Bolton,'Aston Villa',D
Chelsea,Everton,D
Liverpool,Charlton,D
'Man United','West Ham',A
Middlesbrough,Fulham,H
Portsmouth,Arsenal,D
'Sheffield United',Wigan,A
Tottenham,'Man City',H
Watford,Newcastle,D
Arsenal,'Aston Villa',D
Bolton,Tottenham,H
Everton,Watford,H
Newcastle,Wigan,H
Portsmouth,Blackburn,H
Reading,Middlesbrough,H
'Sheffield United',Liverpool,D
'West Ham',Charlton,H
Chelsea,'Man City',H
'Man United',Fulham,H
Tottenham,'Sheffield United',H
Watford,'West Ham',D
'Aston Villa',Reading,H
Blackburn,Everton,D
Charlton,'Man United',A
Fulham,Bolton,D
'Man City',Portsmouth,D
Middlesbrough,Chelsea,H
Charlton,Bolton,H
Fulham,'Sheffield United',H
Liverpool,'West Ham',H
'Man City',Arsenal,H
Tottenham,Everton,A
Watford,'Man United',A
Wigan,Reading,H
'Aston Villa',Newcastle,H
Blackburn,Chelsea,A
Middlesbrough,Portsmouth,A
Arsenal,Middlesbrough,D
Bolton,Watford,H
Chelsea,Charlton,H
Everton,Liverpool,H
'Man United',Tottenham,H
Newcastle,Fulham,A
Portsmouth,Wigan,H
'Sheffield United',Blackburn,D
'West Ham','Aston Villa',D
Reading,'Man City',H
Bolton,Middlesbrough,D
Charlton,Portsmouth,A
Everton,Wigan,D
'Sheffield United',Reading,A
Watford,'Aston Villa',D
Blackburn,'Man City',H
